Series Name,Match Date,Team1,Team1Runs,Team1WicketsFell,Team1ExtrasRec,Team2,Team2Runs,Team2WicketsFell,Team2ExtrasRec,Venue,Country,TossWinner,TossWinnerChoice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
India tour of Australia  - 2007 (2007/08),01-02-2008,India,74,10,3,Australia,75,1,3,Melbourne,Australia,India,bat,Australia,Australia won by 9 wickets (with 52 balls remaining),8876,"['7773', '7781', '8813', '8742', '48405', '7593', '11399', '48319', '7139', '12020', '49327']","['4176', '8876', '6253', '6256', '4382', '11984', '5966', '9235', '7445', '8244', '12400']","['11984', '49327', '48319']"
England tour of New Zealand  - 2008 (2007/08),07-02-2008,England,193,8,4,New Zealand,143,8,3,Christchurch,New Zealand,England,bat,England,England won by 50 runs,2314,"['11556', '44660', '8107', '7822', '2314', '6377', '6769', '7013', '48440', '4647', '10829']","['44946', '10384', '44930', '10381', '9570', '35647', '47488', '10303', '10325', '49108', '9711']","['47488', '10325']"
"ICC World Twenty20 Qualifier Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Ireland - 2008 (2008)",04-08-2008,Scotland,107,8,6,Netherlands,110,5,5,Belfast,Ireland,Netherlands,bowl,Netherlands,Netherlands won by 5 wickets (with 12 balls remaining),45358,"['45548', '46048', '46142', '8221', '4334', '44588', '52063', '48469', '4968', '46091', '47873']","['10323', '48655', '6362', '49443', '45358', '6365', '45001', '6368', '5694', '4192', '48503']",[]
"ICC World Twenty20 Qualifier Bermuda, Canada, Ireland, Kenya, Netherlands, Scotland in Ireland - 2008 (2008)",04-08-2008,Kenya,106,9,6,Scotland,107,1,4,Belfast,Ireland,Kenya,bat,Scotland,Scotland won by 9 wickets (with 11 balls remaining),45548,"['10364', '2264', '49383', '2265', '2268', '50293', '47212', '8207', '9228', '4171', '49761']","['45548', '46048', '46142', '8221', '4334', '44588', '52063', '48469', '4968', '8224', '47873']","['50293', '50293']"
T20 Canada in Canada - 2008 (2008/09),10-10-2008,Zimbabwe,106,8,6,Sri Lanka,107,5,9,King City,Canada,Sri Lanka,bowl,Sri Lanka,Sri Lanka won by 5 wickets (with 6 balls remaining),50377,"['10639', '10423', '47619', '10421', '21364', '45252', '49274', '45326', '7432', '45215', '47210']","['48468', '7419', '15273', '8195', '6315', '48520', '11374', '11271', '15267', '50377', '12209']","['50377', '47210', '12209', '15273', '48468', '7432', '15267', '8195', '49274']"
T20 Canada in Canada - 2008 (2008/09),10-10-2008,Pakistan,137,7,6,Canada,102,9,15,King City,Canada,Pakistan,bat,Pakistan,Pakistan won by 35 runs,11647,"['11647', '47738', '10439', '8270', '19596', '4169', '9257', '48128', '44908', '5649', '53540']","['46191', '57551', '19653', '57853', '10336', '21252', '47129', '8053', '47143', '57210', '48590']","['10336', '10336', '8053', '8053', '19653', '19653', '57853', '57853', '57551', '57551', '47738', '53540', '47143', '47143']"
T20 Canada in Canada - 2008 (2008/09),12-10-2008,Zimbabwe,107,8,18,Pakistan,110,3,17,King City,Canada,Zimbabwe,bat,Pakistan,Pakistan won by 7 wickets (with 6 balls remaining),47738,"['10423', '49282', '47619', '10421', '45252', '10639', '49274', '51554', '45326', '7432', '47210']","['47738', '4169', '11647', '11643', '47099', '9257', '19596', '49125', '44908', '8270', '19036']","['19036', '49125', '11643', '51554']"
T20 Canada in Canada - 2008 (2008/09),13-10-2008,Zimbabwe,184,5,10,Canada,75,10,5,King City,Canada,Canada,bowl,Zimbabwe,Zimbabwe won by 109 runs,10423,"['10423', '49282', '47619', '10421', '10639', '45252', '21364', '47234', '47210', '45326', '7432']","['10336', '57551', '47081', '21252', '46191', '57853', '47129', '8053', '47143', '57210', '21275']",['47234']
T20 Canada in Canada - 2008 (2008/09),13-10-2008,Pakistan,132,7,16,Sri Lanka,133,5,19,King City,Canada,Sri Lanka,bowl,Sri Lanka,Sri Lanka won by 5 wickets (with 6 balls remaining),1988,"['11647', '47738', '4169', '10439', '8270', '19596', '47099', '9257', '44908', '5649', '48128']","['1988', '48468', '6315', '8203', '48520', '10412', '7419', '11374', '15267', '11271', '50377']",[]
Bangladesh tour of South Africa  - 2008 (2008/09),05-11-2008,South Africa,118,7,13,Bangladesh,109,8,15,Johannesburg,South Africa,Bangladesh,bowl,South Africa,South Africa won by 12 runs (D/L method),45159,"['7538', '2347', '7541', '46533', '45222', '9505', '45889', '10401', '17857', '47289', '47154']","['48391', '47218', '24667', '48394', '48277', '47189', '47986', '48388', '45159', '47353', '45573']","['17857', '48388', '48388', '47189', '48394', '48394', '45889']"
Australia tour of New Zealand  - 2005 (2004/05),,Australia,214,5,12,New Zealand,170,10,2,Auckland,New Zealand,Australia,bat,Australia,Australia won by 44 runs,2230,"['4176', '8876', '4382', '2230', '2066', '6259', '6256', '9235', '5966', '2243', '2101']","['10384', '2121', '7410', '9570', '5619', '1939', '9633', '10316', '2128', '10303', '9631']","['4176', '4176', '10316', '4382', '10384', '10384', '5966', '5966', '1939', '1939', '5619', '5619', '2066', '2066', '9631', '9631', '2101', '2101', '9633', '9633', '9235', '2128', '2128', '10303', '10303', '7410', '7410', '8876', '6256', '2243', '2230', '9570', '9570', '6259', '2121']"
Australia tour of England and Scotland  - 2005 (2005),,England,179,8,6,Australia,79,10,6,Southampton,England,England,bat,England,England won by 100 runs,8107,"['3865', '34719', '4271', '8107', '4709', '2314', '7023', '4661', '7037', '2160', '7041']","['4176', '2119', '4382', '8876', '6256', '2230', '2066', '5966', '2286', '2243', '2101']","['4271', '7023', '2160', '34719', '2286', '2286', '7037', '8107', '3865', '2119', '2119', '4709', '4709', '2314', '2314', '7041', '4661']"
New Zealand tour of South Africa  - 2005 (2005/06),,South Africa,133,10,8,New Zealand,134,5,11,Johannesburg,South Africa,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 12 balls remaining),11922,"['2239', '10406', '2232', '2347', '6335', '3947', '2228', '4086', '9505', '7540', '4073']","['11922', '2121', '2235', '9633', '5619', '9570', '9989', '10384', '10303', '10316', '10280']","['9505', '6343', '4086', '7540', '10406', '2347', '9989', '9989', '2232', '9634', '9634', '11922', '11922', '6335', '4073', '3947', '2235', '2239', '10280', '10280', '2228']"
South Africa tour of Australia  - 2005 (2005/06),,Australia,209,3,15,South Africa,114,10,1,Brisbane,Australia,Australia,bat,Australia,Australia won by 95 runs,2066,"['9235', '2066', '2230', '4382', '8876', '6256', '6426', '6259', '7445', '6973', '9432']","['10406', '3978', '2347', '3947', '2228', '2232', '9630', '4013', '10401', '9429', '15625']","['4013', '3978', '6426', '9429', '9630', '10401', '9432', '15625', '7445', '6973', '6973']"
West Indies tour of New Zealand  - 2006 (2005/06),,West Indies,126,7,10,New Zealand,126,8,10,Auckland,New Zealand,New Zealand,bowl,,Match tied,45554,"['7568', '7406', '10460', '45554', '6401', '2120', '45257', '47111', '10451', '21239', '46591']","['10311', '2121', '2235', '9570', '1939', '35647', '9633', '10384', '9639', '10280', '11922']","['7568', '7406', '7406', '21239', '21239', '47111', '47111', '45257', '45257', '45554', '45554', '10451', '10451', '9639', '46591', '46591', '10311', '35647', '10460', '10460', '2120', '2120', '6401', '6401']"
Australia tour of South Africa  - 2006 (2005/06),,South Africa,201,4,17,Australia,199,7,8,Johannesburg,South Africa,South Africa,bat,South Africa,South Africa won by 2 runs,10406,"['10406', '7538', '2347', '2228', '4130', '46533', '4060', '4013', '9492', '2352', '4073']","['4176', '6259', '2230', '2066', '8876', '10125', '3328', '5966', '7445', '9432', '6973']","['46533', '3328', '4130', '7538', '4060', '9492', '2352', '10125']"
Sri Lanka tour of England  - 2006 (2006),15-06-2006,Sri Lanka,163,10,12,England,161,5,13,Southampton,England,Sri Lanka,bat,Sri Lanka,Sri Lanka won by 2 runs,1988,"['1988', '11334', '6315', '7419', '9587', '5611', '48520', '11374', '45105', '11271', '7989']","['3865', '7023', '8107', '2314', '10647', '34719', '34739', '7233', '45443', '45098', '7041']","['48520', '11271', '7233', '11374', '10647', '9587', '45105', '45443', '6315', '7989', '7989', '5611', '45098', '1988', '7419', '34739', '11334', '11334']"
Pakistan tour of England and Scotland  - 2006 (2006),28-08-2006,England,144,7,11,Pakistan,148,5,10,Bristol,England,England,bat,Pakistan,Pakistan won by 5 wickets (with 13 balls remaining),4169,"['3865', '7822', '8107', '7023', '2314', '10647', '8307', '6378', '45098', '2160', '48440']","['8270', '19647', '10439', '4169', '6455', '2034', '4178', '9257', '19820', '5649', '19627']","['4178', '6378', '7822', '2034', '9257', '8307', '19627', '19647', '6455', '19820', '4169', '5649', '8270', '48440', '10439']"
Zimbabwe tour of Bangladesh  - 2006 (2006/07),28-11-2006,Bangladesh,166,10,12,Zimbabwe,123,9,5,Khulna,Bangladesh,Zimbabwe,bowl,Bangladesh,Bangladesh won by 43 runs,24672,"['48385', '47721', '45558', '48277', '46505', '48384', '47986', '24672', '2200', '45159', '47353']","['45253', '10639', '45252', '10423', '47206', '21364', '6305', '4177', '45326', '47619', '46653']","['45159', '45159', '45558', '45558', '46653', '45253', '47619', '45252', '48384', '48384', '4177', '4177', '10423', '21364', '21364', '24672', '24672', '6305', '6305', '2200', '2200', '47986', '47986', '46505', '46505', '48385', '48385', '45326', '45326', '47206', '47206', '47353', '47353', '47721', '47721', '48277', '48277', '10639']"
India tour of South Africa  - 2006 (2006/07),01-12-2006,South Africa,126,9,13,India,127,4,11,Johannesburg,South Africa,South Africa,bat,India,India won by 6 wickets (with 1 ball remaining),8813,"['10406', '7538', '2347', '6335', '46533', '9505', '4130', '9492', '7549', '2352', '7540']","['7781', '1934', '7730', '7593', '8813', '15716', '11399', '7139', '7678', '7129', '12020']","['7129', '7129', '8813', '8813', '7730', '7139', '11399', '7593', '7593', '1934', '1934', '12020', '12020', '15716', '15716', '7549', '7781', '7678']"
Sri Lanka tour of New Zealand  - 2006 (2006/07),22-12-2006,New Zealand,162,8,12,Sri Lanka,62,1,3,Wellington,New Zealand,New Zealand,bat,Sri Lanka,Sri Lanka won by 18 runs (D/L method),1988,"['10384', '2121', '9639', '44930', '2235', '9634', '18948', '10316', '10280', '15357', '11922']","['11334', '1988', '6315', '9587', '1979', '8197', '48520', '11374', '2166', '11271', '2041']","['8197', '2166', '15357', '1979', '2041', '18948', '44930']"
Sri Lanka tour of New Zealand  - 2006 (2006/07),26-12-2006,Sri Lanka,115,10,12,New Zealand,116,5,8,Auckland,New Zealand,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 9 balls remaining),9639,"['11334', '48520', '6315', '9587', '1979', '7419', '8197', '7270', '45105', '11271', '7989']","['10384', '2121', '44930', '2235', '35647', '18948', '9639', '10316', '15357', '11922', '9992']","['7270', '9992']"
England tour of Australia  - 2006 (2006/07),09-01-2007,Australia,221,5,4,England,144,9,12,Sydney,Australia,Australia,bat,Australia,Australia won by 77 runs,12049,"['4176', '2119', '2230', '6256', '4382', '8876', '12049', '3328', '7445', '44865', '8399']","['7233', '4709', '4271', '8107', '7822', '2314', '4577', '10647', '7037', '10782', '10829']","['44865', '12049', '10829', '10782', '4577', '8399']"
